epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,645.301,1.89896,1.72459,1.94957,0.62294,0.58984,0.65873,0.32229,1.7683,1.3983,1.87444,0.005347,0.005347,0.005347
143,649.828,1.89602,1.70814,1.94597,0.63369,0.62695,0.69965,0.34425,1.72145,1.35325,1.83672,0.005314,0.005314,0.005314
144,654.372,1.91025,1.69612,1.96644,0.61978,0.65625,0.68934,0.33372,1.73554,1.35523,1.87271,0.005281,0.005281,0.005281
145,658.91,1.91422,1.71141,1.99751,0.65503,0.61133,0.68813,0.3424,1.70966,1.34177,1.85488,0.005248,0.005248,0.005248
146,663.627,1.91658,1.6986,1.98493,0.66092,0.59388,0.66764,0.31166,1.73969,1.4113,1.8943,0.005215,0.005215,0.005215
147,668.503,1.91441,1.70861,1.96291,0.66473,0.59766,0.6823,0.34581,1.69795,1.3446,1.84877,0.005182,0.005182,0.005182
148,673.149,1.86536,1.69412,1.96472,0.6579,0.616,0.68643,0.33861,1.71426,1.34284,1.85276,0.005149,0.005149,0.005149
149,677.667,1.87905,1.67755,1.93726,0.66831,0.63281,0.68888,0.33726,1.7168,1.38092,1.84859,0.005116,0.005116,0.005116
150,682.168,1.90331,1.71593,1.97573,0.66466,0.60742,0.68394,0.35448,1.68051,1.34066,1.84818,0.005083,0.005083,0.005083
151,686.707,1.89355,1.68642,1.95836,0.68083,0.63327,0.69364,0.35838,1.68456,1.30888,1.84399,0.00505,0.00505,0.00505
152,691.62,1.90257,1.67912,1.98866,0.71284,0.64258,0.72274,0.35157,1.70588,1.32994,1.85629,0.005017,0.005017,0.005017
153,696.151,1.87282,1.69148,1.9583,0.69851,0.64258,0.71855,0.34832,1.7155,1.34297,1.83868,0.004984,0.004984,0.004984
154,700.664,1.87516,1.70628,1.96511,0.6899,0.63672,0.70355,0.35511,1.69533,1.31298,1.82844,0.004951,0.004951,0.004951
155,705.292,1.90212,1.66078,1.95175,0.70041,0.63471,0.71944,0.37128,1.6866,1.30702,1.82649,0.004918,0.004918,0.004918
156,709.847,1.88908,1.65921,1.9693,0.63647,0.62919,0.67694,0.33773,1.70796,1.32274,1.84754,0.004885,0.004885,0.004885
157,714.422,1.87335,1.66359,1.95201,0.68776,0.66602,0.71734,0.35596,1.68389,1.33653,1.81702,0.004852,0.004852,0.004852
158,719.003,1.85372,1.65584,1.93075,0.71514,0.67383,0.737,0.37473,1.67081,1.28445,1.80364,0.004819,0.004819,0.004819
159,723.563,1.87719,1.65313,1.92349,0.72205,0.65451,0.73726,0.39155,1.63592,1.27949,1.78021,0.004786,0.004786,0.004786
160,728.139,1.89377,1.67353,1.96701,0.72203,0.6582,0.72418,0.36454,1.65521,1.29244,1.83259,0.004753,0.004753,0.004753
161,732.684,1.8549,1.68099,1.93184,0.68652,0.67578,0.73773,0.38434,1.64779,1.2536,1.80227,0.00472,0.00472,0.00472
162,737.338,1.87113,1.653,1.96163,0.70674,0.63867,0.72967,0.37566,1.63239,1.29171,1.80978,0.004687,0.004687,0.004687
163,741.908,1.83408,1.64148,1.91776,0.72673,0.66016,0.74387,0.39782,1.61396,1.24574,1.78115,0.004654,0.004654,0.004654
164,746.476,1.84305,1.59282,1.9187,0.69159,0.68164,0.74224,0.38173,1.67908,1.2727,1.81249,0.004621,0.004621,0.004621
165,751,1.84912,1.63212,1.91632,0.71785,0.67578,0.77234,0.40421,1.64615,1.22784,1.77911,0.004588,0.004588,0.004588
166,755.529,1.84495,1.61677,1.90753,0.74869,0.61719,0.74601,0.36222,1.71453,1.29079,1.83851,0.004555,0.004555,0.004555
167,760.04,1.88526,1.60514,1.92761,0.68558,0.70508,0.74964,0.39609,1.64074,1.24278,1.79006,0.004522,0.004522,0.004522
168,764.574,1.83363,1.5898,1.89625,0.73494,0.68234,0.76632,0.40915,1.6255,1.22175,1.76451,0.004489,0.004489,0.004489
169,769.219,1.86378,1.60249,1.91502,0.7154,0.67752,0.75859,0.39464,1.65015,1.2349,1.77949,0.004456,0.004456,0.004456
170,773.779,1.81133,1.60277,1.89488,0.68295,0.67969,0.72681,0.37733,1.67563,1.22735,1.80427,0.004423,0.004423,0.004423
171,778.359,1.83111,1.64803,1.91648,0.69163,0.67969,0.76068,0.40331,1.61147,1.22049,1.76285,0.00439,0.00439,0.00439
172,783.172,1.81749,1.57968,1.87273,0.71121,0.66406,0.74665,0.38273,1.68979,1.23934,1.82851,0.004357,0.004357,0.004357
173,787.806,1.83975,1.63944,1.92869,0.75938,0.71094,0.79593,0.40734,1.65961,1.21857,1.80222,0.004324,0.004324,0.004324
174,792.421,1.84899,1.60054,1.92231,0.75543,0.68359,0.77934,0.40753,1.63897,1.20268,1.76597,0.004291,0.004291,0.004291
175,797.024,1.82381,1.60425,1.91395,0.75293,0.68555,0.77851,0.40427,1.65154,1.21538,1.78525,0.004258,0.004258,0.004258
176,801.601,1.81341,1.5371,1.88465,0.74487,0.7128,0.78646,0.42372,1.60854,1.18079,1.755,0.004225,0.004225,0.004225
177,806.274,1.80928,1.55304,1.89644,0.74881,0.71094,0.78077,0.41896,1.6145,1.18694,1.76666,0.004192,0.004192,0.004192
178,810.841,1.80113,1.53781,1.86914,0.71626,0.71875,0.78802,0.42537,1.59641,1.17209,1.73611,0.004159,0.004159,0.004159
179,815.406,1.80331,1.56247,1.884,0.7511,0.70725,0.78985,0.42525,1.59408,1.18891,1.72448,0.004126,0.004126,0.004126
180,820.025,1.82653,1.57536,1.89445,0.73018,0.74609,0.79993,0.43159,1.60178,1.18629,1.74679,0.004093,0.004093,0.004093
181,824.597,1.80469,1.57143,1.87732,0.75196,0.71052,0.79244,0.42318,1.57276,1.18444,1.74604,0.00406,0.00406,0.00406
182,829.362,1.79323,1.53715,1.8754,0.75955,0.72184,0.80165,0.43905,1.57456,1.12457,1.74661,0.004027,0.004027,0.004027
183,833.953,1.78782,1.52007,1.85061,0.72634,0.70898,0.78815,0.43601,1.57415,1.13595,1.73074,0.003994,0.003994,0.003994
184,838.603,1.79294,1.5183,1.87492,0.74629,0.69531,0.79649,0.43026,1.59147,1.14827,1.72347,0.003961,0.003961,0.003961
185,843.19,1.79434,1.51716,1.87742,0.76504,0.72266,0.79571,0.43927,1.57774,1.14677,1.73209,0.003928,0.003928,0.003928
186,847.827,1.81134,1.53106,1.8867,0.75394,0.67026,0.77017,0.40719,1.65264,1.19475,1.78843,0.003895,0.003895,0.003895
187,852.396,1.82172,1.53806,1.88847,0.7653,0.69922,0.7935,0.43775,1.55994,1.14102,1.72669,0.003862,0.003862,0.003862
188,857.049,1.82061,1.52857,1.89562,0.76933,0.73611,0.8053,0.4393,1.59446,1.11915,1.7368,0.003829,0.003829,0.003829
